subject_id,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time
1_1,Welcome to Cam Country - EP,$4.26 ,Cam, 2015 Sony Music Entertainment,4.72396,"Country,Music,Contemporary Country,Honky Tonk",$0.99 ,31-Mar-15,Runaway Train,3:01
1_2,Me 4 U,$9.99 ,Omi," 2015 Ultra Records, LLC under exclusive license to Columbia Records, a Division of Sony Music Entertainment",3.3815800000000005,"Pop/Rock,Music,Pop,Dance,R&B/Soul",Album Only,,Track 14,3:41
1_3,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_4,I'll Be Home For Christmas,$6.99 ,A Great Big World," Compilation (P) 2014 Epic Records, a division of Sony Music Entertainment",4.39516,"Holiday,Music",$1.29 ,24-Nov-14,I Want a Hippopotamus for Christmas,2:20
1_5,Title (Deluxe),$12.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.0674,"Pop,Music,Rock,Pop/Rock,Dance,Teen Pop",$1.29 ,9-Jan-15,Credit,2:51
1_6,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_7,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_8,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_9,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_10,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.3919999999999995,"Pop,Music,Rock",Album Only,,Perfect,4:02
1_11,Radio Disney Music Awards,$9.99 ,Olly Murs, 2015 Walt Disney Records,4.14286,"Pop,Music",Album Only,21-Apr-15,Wrapped Up (Live),3:01
1_12,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_13,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
1_14,Chilled House Session 2015 - Ministry of Sound,$9.99 ,I Am Oak, 2015 Ministry of Sound Recordings Ltd,4.0,"Dance,Music",Album Only,1-Feb-15,On Trees and Birds and Fire (CHS6 Edit) [Sam Feldt & Bloombox Remix],3:33
1_15,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix] - Single,$1.29 ,Lana Del Rey & Cedric Gervais, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.173430000000001,"Dance,Music,Rock,Adult Alternative,Electronic",$1.29 ,11-Jul-13,Summertime Sadness (Lana Del Rey vs. Cedric Gervais) [Cedric Gervais Remix],3:34
1_16,Defected Presents Most Rated 2015,$7.99 ,Krankbrother, 2014 Defected Records Limited,4.5,"Dance,Music",$1.29 ,23-Nov-14,Thank You Baby,6:58
1_17,Ride (Remixes),$5.99 ,Lana Del Rey, 2012 Polydor Ltd. (UK),4.11111,"Alternative,Music,Rock",$1.29 ,19-Nov-12,Ride (Lyla's Surprise) [James Lavelle Remix],8:13
1_18,West Coast (Remix EP),$3.99 ,Lana Del Rey, 2014 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.40909,"Alternative,Music,Rock",$1.29 ,13-Jul-14,West Coast (MK Remix),5:26
1_19,Young and Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit) - Single,$1.29 ,Lana Del Rey & Cedric Gervais, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.21495,"Alternative,Music,Rock",$1.29 ,29-Oct-13,Young and Beautiful [Lana Del Rey vs. Cedric Gervais] [Cedric Gervais Remix Radio Edit],3:47
1_20,Tropico - Single,$2.99 ,Lana Del Rey, 2013 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.703930000000001,"Alternative,Music",Album Only,6-Dec-13,Tropico,27:07:00
1_21,Blue Jeans (Remixes) - EP,$5.99 ,Lana Del Rey, 2012 Lana Del Rey under exclusive licence to Polydor Ltd. (UK). Under exclusive licence to Interscope Records in the USA,4.46237,"Alternative,Music,Rock,Adult Alternative",$1.29 ,1-May-12,Blue Jeans (Penguin Prison Remix),5:36
